"","ESC.1.15.OPR.279514","ESC.1.24.OPL.279654","ESC.1.34.OPR.279524","ESC.1.33.OPL.279468","ESC.1.9a.OPL.279644","ESC.1.28.OPR.279603","ESC.1.62.OPL.279669","ESC.1.53.OPL.279544","ESC.1.45.OPL.279704","ESC.1.28.OPL.279617","ESC.1.34.OPL.279562","ESC.1.42.OPL.279703","ESC.1.49.OPL.279522","ESC.1.72.OPR.279523","ESC.1.61.OPR.279506","ESC.1.45.OPR.279442","ESC.1.65.OPL.279620","ESC.1.55.OPR.279483","ESC.1.60.OPR.279487","ESC.1.71.OPR.279471","ESC.1.35.OPR.279455","ESC.1.68.OPR.279573","ESC.1.20.OPL.279671","ESC.1.23.OPL.279686","ESC.1.44.OPR.279527","ESC.1.63.OPL.279420","ESC.1.37.OPR.279696","ESC.1.47.OPL.279646","ESC.1.49.OPR.279650","ESC.1.26.OPR.279484","ESC.1.43.OPL.279611","ESC.1.53.OPR.279665","ESC.1.1.OPR.279601","ESC.1.65.OPR.279502","ESC.1.26.OPL.279470","ESC.1.17.OPR.279511","ESC.1.29.OPL.279486","ESC.1.55.OPL.279670","ESC.1.48.OPR.279680","ESC.1.71.OPL.279661","ESC.1.61.OPL.279525","ESC.1.43.OPR.279635","ESC.1.50.OPL.279499","ESC.1.69.OPL.279699","ESC.1.38.OPR.279528","ESC.1.56.OPR.279444","ESC.1.62.OPR.279652","ESC.1.17.OPL.279551","ESC.1.19.OPL.279430","ESC.1.22.OPR.279421","ESC.1.32.OPL.279633","ESC.1.72.OPL.279581","ESC.1.51.OPR.279561","ESC.1.20a.OPL.279437","ESC.1.30.OPL.279456","ESC.1.48.OPL.279572","ESC.1.59.OPR.279629","ESC.1.5.OPR.279659","ESC.1.24.OPR.279606","ESC.1.44.OPL.279532","ESC.1.64.OPR.279439","ESC.1.30.OPR.279564","ESC.1.47.OPR.279560","ESC.1.50.OPR.279637","ESC.1.20.OPR.279692","ESC.1.39.OPL.279608","ESC.1.51.OPL.279500","ESC.1.60.OPL.279582","ESC.1.64.OPL.279491","ESC.1.46.OPL.279623","ESC.1.56.OPL.279540","ESC.1.33.OPR.279647","ESC.1.1.OPL.279586","ESC.1.58.OPL.279556","ESC.1.37.OPL.279622","ESC.1.40.OPL.279667","ESC.1.46.OPR.279457","ESC.1.31.OPL.279464","ESC.1.19.OPR.279460","ESC.1.52.OPR.279589"
"46159",0,2,0.11,0.04,0,0,0.12,1,0,2,0.1,1,0.03,1,5,0,0,1,0,1,2,0.01,0,0.48,3,0,1,0.05,1,0.19,0.63,0.01,0.78,0,4,0.09,0,2,0,0,3,0.44,1,2.55,0,4,0.01,0.06,0.02,7,0,1,0,0,0,0,4,1,2,0.28,3,0,0.1,0.21,0,1,0,0.01,0.33,0.96,2,0,6.18,1,1,7,4,0.81,0,1
"244669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1,0,0,0,0,0,0,0.01,4,0,0,0,0,0,1,0,0,0.01,0,2,0,0,0,0,0,0,0.01,0,0.01,0,12,4,0,0,1,0,0,0,0,0,0,0.02,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"361926",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3956",0,3.4,0,3,0,3,0.26,0.01,29,1,0,0.01,0,6,1.2,8,0.02,1,1,0.01,0.02,0.05,2,2,0.19,0,1,0.16,0,1,1,0,0,0,0.21,1,5,4,0.02,3,0,0.04,3,0,0,0.13,0.04,0.09,0.13,32,1.12,0,16,0.19,0,0.02,0,1,0,0.01,0,0.02,1,3,0,3,7,0.02,0.01,0,1,0.02,53,0.02,0.2,0.37,0,74,0,0
"185969",1,0.01,0,0,0,0,6,0,0.01,0,0,0,0.01,1,0,0,3,11,0,0,0,3,0.01,0.1,0.1,3,0,0,0,0,0,4,0.01,2,0.05,0.01,0,2,0.03,0,0,0,0,0,0.38,0,0,0,0.02,0.01,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0,2,0,0,0,0,0.03,0,0,0,0
"539301",0,0,1,0,0.01,0,0,0,0,0.01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56320",0,14,0,0,0,0,0,0,0.11,0,0.47,0,0,98,0.01,0,1,11,0.07,21,0,0,0,6,2.02,0,0,0,0,0.02,0,0.03,16,0,0.19,0,0.01,1,0,23,0,0.02,13,0,0,2,0,0,0,0.88,0.01,2,2,0,0,0,0,1,0,0,0.64,0,0,1,0,0.01,0.04,0,2,0,0,0.01,74,0,0,3,0,0.06,0,0
"277679",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"221829",0,37,0,0.01,0,0,3,3,0,0,1.69,0,5,0.04,3,0,0.01,0,0,17,1,0.01,0,0,0,8.98,0,19,4,0,0.01,0.01,8.91,0,0,1,0.09,0.01,0,11,0.15,0.55,0,0,6,0,4,2,4,16,0,2.07,2,0.02,0,0,0.01,0,18,0.22,0.04,29.84,51,1.64,0.02,1,2,0.01,0,2,0.06,0,0.21,5,0,0.01,1,0.01,0.02,0
