"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14"
"result.1" 0 0 0 0 0.722222222222222 0.722222222222222 0.705882352941177 1 0 0 0.8 1 1 1
"result.2" 0.2 0 0 0 0.75 0.75 0.764705882352941 1 0.5 1 1 1 1 1
"result.3" 0.1 0 0 0 0.735294117647059 0.739130434782609 0.735294117647059 1 0.111111111111111 0.111111111111111 0.777777777777778 1 1 1
"result.4" 0.0740740740740741 0 0 0.0384615384615385 0.798387096774194 0.8 0.796747967479675 1 1 1 1 1 1 1
"result.5" 0.166666666666667 0.0909090909090909 0.0892857142857143 0.0555555555555556 0.5 0.5 0.514285714285714 0.980392156862745 0.980392156862745 1 1 1 1 1
"result.6" 0 0.04 0.0204081632653061 0.04 0.671052631578947 0.66887417218543 0.666666666666667 1 0.96 0.96 0.96 1 1 1
"result.1" 0 0 0 0 0.684210526315789 0.7 0.7 1 0 0.166666666666667 0.166666666666667 1 1 1
"result.2" 0 0 0 0 0.5625 0.5625 0.588235294117647 1 0 0 1 1 1 1
"result.3" 0.0909090909090909 0 0 0 0.74025974025974 0.743589743589744 0.753086419753086 1 0 0 0 1 1 1
"result.4" 0 0 0 0 0.782945736434108 0.791044776119403 0.786259541984733 1 0.75 0.928571428571429 0.964285714285714 1 1 1
"result.5" 0.0652173913043478 0.0851063829787234 0.0227272727272727 0.0444444444444444 0.51685393258427 0.532608695652174 0.511363636363636 1 1 1 1 1 1 1
"result.6" 0.0576923076923077 0.0576923076923077 0.0754716981132075 0.0754716981132075 0.637037037037037 0.642335766423358 0.662068965517241 1 1 1 1 1 1 1
"result.1" 0 0 0 0 0.692307692307692 0.692307692307692 0.692307692307692 1 1 1 1 1 1 1
"result.2" 0 0 0 0 0.666666666666667 0.666666666666667 0.666666666666667 1 0 0 0 1 1 1
"result.3" 0.185185185185185 0 0 0 0.75 0.758241758241758 0.752808988764045 1 0.136363636363636 0.136363636363636 0.954545454545455 1 1 1
"result.4" 0.0740740740740741 0 0 0 0.795081967213115 0.801587301587302 0.8 1 0.96 0.96 0.96 1 1 1
"result.5" 0.06 0.0217391304347826 0.0217391304347826 0.0212765957446809 0.494623655913978 0.515463917525773 0.515463917525773 1 0.957446808510638 0.957446808510638 0.978723404255319 1 1 1
"result.6" 0.0517241379310345 0.0677966101694915 0.0350877192982456 0.0677966101694915 0.789272030651341 0.789272030651341 0.789272030651341 1 1 1 1 1 1 1
"result.1" 0 0 0 0 0.642857142857143 0.666666666666667 0.615384615384615 1 0 0 0 1 1 1
"result.2" 0.111111111111111 0 0 0 0.741935483870968 0.741935483870968 0.75 1 0.25 0.75 1 1 1 1
"result.3" 0.0740740740740741 0 0 0 0.776785714285714 0.776785714285714 0.786324786324786 1 0.96 0.96 0.96 1 1 1
