"","X100105.518417","X7912.518472","X7848.518594","X7855.518447","X100161.518473","X100195.518533","X7870.518457","X100003.518448","X7847.518410","X7861.518583","X100077.518436","X7844.518483","X7879.518469","X7862.518458","X100107.518577","X100173.518499","X100178.518498","X100074.518549","X7906.518589","X100207.518411","X7910.518536","X100171.518431","X100154.518504","X100102.518495","X100015.518484","X100165.518637","X100092.518547","X100191.518602","X100222.518527","X100226.518568","X7908.518449","X100083.518623","X100158.518625","X100212.518635","X100046.518563","X7860.518628","X100190.518464","X7904.518600","X100101.518475","X100217.518532","X100225.518544","X100144.518438","X7899.518560","X100088.518508","X100200.518491","X100203.518476","X100151.518550","X100084.518559","X100001.518462","X7911.518610","X100091.518616","X100058.518558","X100072.518459","X100168.518433","X100156.518612","X100065.518569","X100085.518596","X100150.518562","X100197.518442","X100087.518466","X7909.518566","X100060.518463","X100163.518435","X7858.518581","X7662.518467","X100234.518587","X100205.518470","X100164.518477","X100209.518521","X100052.518548","X100198.518598","X100176.518428","X100184.518455","X100079.518554","X100075.518638","X100192.518621","X100174.518479","X100100.518579","X100187.518520","X100115.518501"
"308774",1,0,0,0,1,0,0.05,0.09,0.01,0.01,3,0.02,1,0,1.63,0.03,0.01,0.07,0.01,0.01,0,0,0,0,1,0.05,1,2,1,1,0,0,0.08,0,0,1,0.01,0,0,1,0,0,0.01,2,0.01,0.04,0.03,0.01,0.68,0.02,1,0.49,0,0.02,0.04,0,0.01,0,0.06,0,0.06,0,0,0.05,0,0,0.02,0.04,0,0,0.02,0,0,0,0,0,0,0,0,0
"179807",0.62,50.89,8,0.3,1,6,0.08,11,11.19,2,0.06,1.78,13,6,10,1,49.46,99.92,20.18,16,9,54.9,10,86.02,0.11,0.47,7,1,0.73,2,143.99,1,10.74,6,0.15,5.54,5,2,257.75,3,0,0,2,0.62,8,1,67,16,2.82,19,0.58,0.05,0.15,0.01,207,0,6,0,0.46,0.01,8,0,0.24,8,0,4.68,0.02,0,0,0,2.69,0,0,0,0,0,0,0,0,0
"185281",8.3,1,4,8,2,2.68,0.67,3,3.27,7,0.05,2,4,3,2,1,2,12.58,1,2,15.5,26,1,26.74,3.55,10.96,2,3,7,111.39,2,9,6.29,10,1.6,7,44.8,39.58,1.95,12,0,0.08,7.19,1,10,7,15,4.66,137.01,11.24,5.77,67,0.01,0.03,31,0,3,0.04,4.33,0.01,1,0,0.02,2,0,0,8,11,0,0,0.33,0,0,0,0,0,0,0.2,0,0
"186081",0.01,0.03,1,0.04,1,0.02,0.07,0.82,6.92,0,1,2,1.97,1.6,11.14,0.31,5,1,1,1,2,0.77,4,4.93,0.03,5,1.75,1,0.24,1,0.01,1,35.15,0.01,0,0.03,0,0.01,0,0.43,0.02,0.01,0.05,2,3.43,0.17,0,0.2,0.51,0.14,2,0.11,0.4,0,0,0,0.07,0,4,4,0,0,0,0.39,0.05,2,0,0,0.01,0.08,0.02,0.01,0.02,0.02,0,0,0,0,0,0
"176861",1,0.01,6,0.04,0,0,0.02,0,0.05,0,1,0.1,11.02,3,0.01,1,3,0,0,0.02,0.02,2,1,0.07,0,0,0.01,0.01,0,0.23,0.01,0.05,0.11,0.01,0,0,0,0,0,1,0,0,0.02,0,0.01,0.01,0,0,0.07,0,0,7,0,0,0.03,0,0,0,0,0,9,0.1,1,0.03,3,0,0,0.01,0,0.03,0.02,0,0.02,0,0,0,1.22,0,0,0
"522353",2,0,0,0,0,98,1,0.08,0,0,1.01,0,0,0,1,0.01,0.01,0.01,0,0,0,0,0,22,0.07,0.01,0,0.11,0,0.01,0.01,0.01,0,0,0.39,4,0,4,0.02,0,0.03,1,0.01,0,0,0,15,15.28,0.01,0.02,0,0.05,45,98,0.01,0,0,5,0.27,0.03,0,4,0.26,0,0,0.3,0.02,0.09,49,0.01,0.19,0.01,0.16,0,0,0.02,0.66,0.09,0,0
"181056",14.06,75.6,79,60,67,272.81,0.01,4,32,56.78,0.58,105,8,171,93,164,99.81,0.14,76,40,15,7.21,105.89,0,96,62,44,1045.65,190,46,171,475.69,11.7,158,0.03,42.21,9.02,527.51,4,1,3,0,132,6.97,9.04,260,0.09,2.9,0.03,106.35,147.07,0.29,54,16.27,4,1,35,4,0.93,2,3,1281,0.02,3,16,0.9,0.03,0.77,43.98,0,656,37.46,10.26,0.54,1.15,263.75,9.24,0.01,1,0.38
"209251",1.29,1.96,0.07,0.02,0.11,0.5,0.23,0.01,0.03,0.13,0.02,3.62,0.16,0.03,0.61,1.17,0.01,0.68,0.06,79,0.01,20,0,0,0.33,10.84,44,15,1.51,35,17,11.79,0.12,11,0,0.01,9,0.03,0.02,0.02,0,0,2.64,6,0.04,26,0,0.02,2,0,0.03,0,0,0,0.62,682,0.32,0,0.07,2.53,15.3,0,0.01,544,0,0.01,0,0.07,0,0,0.04,0,0.11,0,0,0.13,0,0,0,0
"243150",1,0,2,0,6,0,1,0.03,0,0,0.08,0,0,0,3,0.04,0.01,0,1,0.01,0.01,0.01,0.02,0,10,0,0,0.07,0,0,0,0.03,1,0,0,3,0,0.01,0,0,0,0,0.03,0,0,0,0.02,0,0,0,0.03,0.04,0,0,0,0.01,2,0,0,0,0,0,0,2,0,0,0.02,0.09,0,0,0.03,0,0,0,0,0,0,0,0,0
"49274",0,0.03,5,0.04,8,0.01,40,22,14,3,0.9,24,15.72,5,0.02,28.35,17.12,5,0.22,0.29,1.18,48.65,110.22,10,2.55,4.69,17,6,0.47,1,2.05,0.07,2,8.11,0.01,3,0.18,0.26,16,0.07,0,0.04,6,2,3,3,7.9,0.63,0.28,3,0.18,0.57,0,0.01,1,0,1,0.15,3,0.03,0.01,0.14,0.43,2.27,1,0.01,2.13,0.48,0,17,0.03,0,0.04,0,0,0.02,0.46,0,0,0
